iso_code,country,co2,category,alpha-3,region
STP,Sao Tome and Principe,0.113,,STP,Africa
SAU,Saudi Arabia,625.508,highly-insufficient,SAU,Asia
SEN,Senegal,10.450999999999999,,SEN,Africa
SRB,Serbia,43.135,,SRB,Europe
SYC,Seychelles,0.491,,SYC,Africa
SLE,Sierra Leone,0.877,,SLE,Africa
SGP,Singapore,45.504,critically-insufficient,SGP,Asia
SXM,Sint Maarten (Dutch part),0.623,,SXM,Americas
SVK,Slovakia,30.73,,SVK,Europe
SVN,Slovenia,12.562999999999999,,SVN,Europe
SLB,Solomon Islands,0.299,,SLB,Oceania
SOM,Somalia,0.562,,SOM,Africa
ZAF,South Africa,451.957,insufficient,ZAF,Africa
KOR,South Korea,597.605,highly-insufficient,KOR,Asia
SSD,South Sudan,1.179,,SSD,Africa
ESP,Spain,208.915,,ESP,Europe
LKA,Sri Lanka,21.105999999999998,,LKA,Asia
SDN,Sudan,18.859,,SDN,Africa
SUR,Suriname,2.224,,SUR,Americas
SWE,Sweden,38.635,,SWE,Europe
CHE,Switzerland,32.298,insufficient,CHE,Europe
SYR,Syria,30.531999999999996,,SYR,Asia
TWN,Taiwan,273.175,,TWN,Asia
TJK,Tajikistan,9.448,,TJK,Asia
TZA,Tanzania,10.939,,TZA,Africa
THA,Thailand,257.76599999999996,critically-insufficient,THA,Asia
TLS,Timor,0.526,,TLS,Asia
TGO,Togo,2.1919999999999997,,TGO,Africa
TON,Tonga,0.14400000000000002,,TON,Oceania
TTO,Trinidad and Tobago,35.509,,TTO,Americas
TUN,Tunisia,28.127,,TUN,Africa
TUR,Turkey,392.79400000000004,critically-insufficient,TUR,Asia
TKM,Turkmenistan,75.33800000000001,,TKM,Asia
TCA,Turks and Caicos Islands,0.203,,TCA,Americas
TUV,Tuvalu,0.008,,TUV,Oceania
UGA,Uganda,4.8919999999999995,,UGA,Africa
UKR,Ukraine,213.90900000000002,highly-insufficient,UKR,Europe
ARE,United Arab Emirates,150.268,highly-insufficient,ARE,Asia
GBR,United Kingdom,329.579,almost-sufficient,GBR,Europe
USA,United States,4712.771,insufficient,USA,Americas
URY,Uruguay,5.84,,URY,Americas
UZB,Uzbekistan,112.78399999999999,,UZB,Asia
VUT,Vanuatu,0.182,,VUT,Oceania
VEN,Venezuela,84.609,,VEN,Americas
VNM,Vietnam,254.303,critically-insufficient,VNM,Asia
YEM,Yemen,9.767999999999999,,YEM,Asia
ZMB,Zambia,6.5729999999999995,,ZMB,Africa
ZWE,Zimbabwe,10.530999999999999,,ZWE,Africa
